stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
700000014230,0,Park & Ride Glenshane Rd,,54.836019,-6.682173,,,,
701000001,13223,Water Street,,54.9960686943561,-7.31732885231964,,,,
701000006,13224,Drumahoe Park and Ride,,54.97452,-7.25841,,,,
701000007,13225,Derry Foyleside,,54.9941010639017,-7.31733099979148,,,,
702000001,13226,Belfast International Airport,,54.6624429322079,-6.21787736086132,,,,
702000015422,0,Europa Bus Centre,,54.5950542821242,-5.93626793243424,,,,
70200B156091,156091,Glengall Street,,54.5950880606977,-5.93719485012835,,,,
7020IR0037,0,Lisburn,,54.513863,-6.045132,,,,
7020IR2162,0,Belfast,,54.594684,-5.939831,,,,
7040IR0042,0,Newry,,54.188659,-6.362413,,,,
7040IR0045,0,Portadown,,54.424993,-6.445312,,,,
7040IR0090,0,Lurgan,,54.467011,-6.338528,,,,
7050B108081,108081,Enniskillen,,54.3436944286399,-7.64007888696494,,,,
7050B140871,140871,Derrylin,,54.191672,-7.565929,,,,
7050B1409001,140901,Bellanaleck,,54.2950047241065,-7.63801510677572,,,,
7050B141541,141541,Belleek,,54.4761705959608,-8.09450198679982,,,,
7050B1415501,141551,Bellanaleck,,54.2950580826928,-7.63783030428049,,,,
7050B141561,141561,Derrylin,,54.191678,-7.565736,,,,
7060000002,13812,Strabane,,54.831483,-7.469682,,,,
706000002,14066,Straughroy,,54.613074,-7.325008,,,,
706000003,14065,Straughroy,,54.61303,-7.325148,,,,
7060B152481,152481,Sion Mills,,54.7843117247012,-7.4716367976002,,,,
7060B156031,156031,Ballygawley,,54.456349,-7.033901,,,,
7060B157111,157111,Newtownstewart,,54.7218905194398,-7.37298186024223,,,,
7060B158031,158031,Ulsterbus Depot,,54.601343,-7.30175,,,,
7060B1581001,158101,Newtownstewart,,54.7217738838126,-7.37301470512109,,,,
7060B158121,158121,Bradley Way,,54.8265068781516,-7.47009002495236,,,,
7060B1581401,158141,Sion Mills,,54.785779358327,-7.47234836164944,,,,
821000005,12324,Carlow Institute,,52.81898,-6.94506,,,,
821000006,12325,Carlow Institute,,52.819215,-6.945214,,,,
8210B1340201,134021,Hacketstown,,52.865375,-6.558453,,,,
8210B136061,136061,SETU Carlow,,52.8299811805242,-6.93597455431291,,,,
8210B1360701,136071,Ballyknockan,,52.735531,-6.987098,,,,
8210B136211,136211,Rathvilly,,52.8805507014169,-6.69556191940628,,,,
